category,total_hits,unique_users_sample,pct_raw_users,pct_inelig_users,top_pattern_1,top_pattern_2,top_pattern_3,example_url_1,example_url_2,example_url_3
feed_recommendations,173195,33209,51.96,407.27,/,/management/feedbackBuyerList,/m_apps/homepage-pop/newhome,https://best.aliexpress.com/?browser_redirect=true,https://best.aliexpress.com/?gatewayAdapt=glo2esp&browser_redirect=true,https://pt.aliexpress.com/?gatewayAdapt=glo2bra
other,133910,48436,75.78,594.02,/p/ug-login-page/login,/p/tracking/index,/minicart,https://www.aliexpress.com/p/ug-login-page/login.html,https://aliexpress.ru/minicart?cart_type=1,https://www.aliexpress.com/ssr/300002956/328global-main-hall-7shww9?disableNav=YES&pha_manifest=ssr&_immersiveMode=true&businessCode=guide
search_results,27386,20397,31.91,250.15,/,/w/{q},/{q},https://es.aliexpress.com/?gatewayAdapt=glo2esp,https://portals.aliexpress.com/affiportals/web/home.htm,https://aliexpress.ru/wholesale?SearchText=%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0+%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D0%BB%D0%B5%D1%80%D0%B0+%D0%A7%D0%9F%D0%A3+DA53T+DA-53T&g=y&page=1&searchInfo=A5IUt%2FTrcW269EEADmyLkzk8CTWYMLtSb0lJdfBhE5A3yoyC%2Brw4Ls0muHSSSjpbLZiOzLtJZwZD5TJF7Sj6%2FM2Utv5uLwWdL5MmTtQ6%2BHGwCeyjnRgiJepXt8jWclU62qmwprRGZSsac6KekpXRWB6xWST0iSEnZWg9bFI%2FYJ8IBWHquc9HJGI8Cg%3D%3D
account_profile,10262,3890,6.09,47.71,/account/index,/account,/account/setting/index,https://aliexpress.ru/account,https://www.aliexpress.com/account/index.html?spm=a2g0o.order_list,https://m.aliexpress.com/account/index.html
cart,7812,5300,8.29,65.00,/cart,,,https://aliexpress.ru/cart,https://aliexpress.ru/cart?spm=a2g2w.orderlist.cart.1.6a734aa6fbHk6A,https://aliexpress.ru/cart?spm=a2g2w.productlist.cart.1.6f7340533ReChi
seller_store,4560,6017,9.41,73.79,/store/{id},/user/seller/login,/store/{id}/pages/all-items,https://login.aliexpress.com/user/seller/login?bizSegment=CSP&return_url=http%3A%2F%2Fcsp.aliexpress.com%2F,https://aliexpress.ru/store/1103472625?spm=a2g2w.detail.0.0.425a1c0baFgsaG&page=1,https://www.aliexpress.com/store/1104762387?sortType=bestmatch_sort
promo_landing,2861,946,1.48,11.60,/p/coupon-package/index,/promo/sales,/gcp/{id}/nnmixupdatev3,https://www.aliexpress.com/p/coupon-package/index.html?_addShare=no&_login=yes,https://www.aliexpress.com/p/coupon-package/index.html,https://aliexpress.ru/promo/sales
order_checkout,1666,1858,2.91,22.79,/m_apps/order-manage/orderList,/purchased-list,/checkout,https://csp.aliexpress.com/m_apps/order-manage/orderList?channelId=282489,https://csp.aliexpress.com/m_apps/order-manage/orderList?channelId=321686,https://csp.aliexpress.com/m_apps/order-manage/orderList?channelId=1489225
help_service,502,427,0.67,5.24,/p/service-mindset/index,/m_apps/dispute-management/list,/m_apps/dispute-management/detail,https://www.aliexpress.com/p/service-mindset/index.html?_immersiveMode=true&_fullscreenMode=yes,https://csp.aliexpress.com/m_apps/dispute-management/detail?reverseOrderLineId=14284918316544166&channelId=1489225,https://csp.aliexpress.com/m_apps/service_application/PlatformAppliedBrands?channelId=1489225
review_rating,380,2785,4.36,34.16,/item/{id}/reviews,,,https://aliexpress.ru/item/1005009928872527/reviews?filters=&sku_id=12000050603605896,https://aliexpress.ru/item/1005007031640706/reviews?filters=&sku_id=12000051670670116,https://aliexpress.ru/item/1005003579875467/reviews?filters=&sku_id=12000026450981075
category_listing,334,1259,1.97,15.44,/category/{id}/sports-entertainment,/category/{id}/home-garden-office,/category/{id}/home-appliances,https://aliexpress.ru/category/7/sports-entertainment?utm_campaign=2099917&utm_content=1068989&utm_medium=cpa&utm_source=admitad,https://aliexpress.ru/category/7/sports-entertainment?utm_campaign=2826_255842&utm_content=2&utm_medium=cpa&utm_source=aerkol,https://aliexpress.ru/category/6/home-garden-office?utm_campaign=2826_255842&utm_content=2&utm_medium=cpa&utm_source=aerkol
